ticker    ,name                                                                                   ,sector                ,industry                                             ,exchange,market_cap,enterprise_value,last_price,price_target,composite_quality_score,quality_tier
CPLE3     ,Companhia Paranaense de Energia - COPEL                                                ,Utilities             ,Electric Utilities                                   ,BOVESPA ,7441.16   ,10716.22        ,13.18     ,14.7667     ,69.70400062266502      ,Above Avg
WMS       ,Advanced Drainage Systems Inc.                                                         ,Industrials           ,Building Products                                    ,NYSE    ,11823.31  ,12461.67        ,152.04    ,175.9       ,69.68882316313824      ,Above Avg
REGN      ,Regeneron Pharmaceuticals Inc.                                                         ,Health Care           ,Biotechnology                                        ,NasdaqGS,76072.37  ,59912.47        ,741.4499  ,836.0       ,69.684698007472        ,Above Avg
603979    ,JCHX Mining Management Co.Ltd.                                                         ,Materials             ,Metals and Mining                                    ,SHSE    ,7090.91   ,7106.71         ,79.02     ,74.41       ,69.68088418430887      ,Above Avg
CSL       ,Carlisle Companies Incorporated                                                        ,Industrials           ,Building Products                                    ,NYSE    ,14210.26  ,15988.56        ,340.89    ,371.25      ,69.67854919053552      ,Above Avg
1969      ,Takasago Thermal Engineering Co. Ltd.                                                  ,Industrials           ,Building Products                                    ,TSE     ,3779.78   ,3732.3          ,4470.0    ,4591.6667   ,69.67808219178083      ,Above Avg
688578    ,Shanghai Allist Pharmaceuticals Co. Ltd.                                               ,Health Care           ,Pharmaceuticals                                      ,SHSE    ,6381.59   ,5910.48         ,98.58     ,128.6       ,69.6753580323786       ,Above Avg
BCPC      ,Balchem Corporation                                                                    ,Materials             ,Chemicals                                            ,NasdaqGS,5511.17   ,5618.07         ,170.17    ,191.0       ,69.66391656288917      ,Above Avg
TEMN      ,Temenos AG                                                                             ,Information Technology,Software                                             ,SWX     ,6115.28   ,6840.9          ,68.35     ,75.4712     ,69.65683374844335      ,Above Avg
ATCOA     ,Atlas Copco AB (publ)                                                                  ,Industrials           ,Machinery                                            ,OM      ,96777.82  ,98914.61        ,183.75    ,193.35      ,69.62834682440848      ,Above Avg
1308      ,SITC International Holdings Company Limited                                            ,Industrials           ,Marine Transportation                                ,SEHK    ,10071.18  ,9619.6          ,29.14     ,29.8212     ,69.62725716064759      ,Above Avg
MUSA      ,Murphy USA Inc.                                                                        ,Consumer Discretionary,Specialty Retail                                     ,NYSE    ,7915.49   ,10651.79        ,422.51    ,439.0       ,69.61495952677461      ,Above Avg
FIZZ      ,National Beverage Corp.                                                                ,Consumer Staples      ,Beverages                                            ,NasdaqGS,3190.98   ,2982.91         ,34.08     ,35.0        ,69.60740971357411      ,Above Avg
CRADB     ,C-Rad AB (publ)                                                                        ,Health Care           ,Health Care Equipment and Supplies                   ,OM      ,119.48    ,101.01          ,31.55     ,38.0        ,69.58468244084685      ,Above Avg
NKT       ,NKT A/S                                                                                ,Industrials           ,Electrical Equipment                                 ,CPSE    ,7026.79   ,6266.03         ,826.0     ,764.66      ,69.57635429638854      ,Above Avg
NOLAB     ,Nolato AB (publ)                                                                       ,Industrials           ,Industrial Conglomerates                             ,OM      ,1768.09   ,1894.4          ,58.2      ,68.0        ,69.57612079701123      ,Above Avg
INOD      ,Innodata Inc.                                                                          ,Industrials           ,Professional Services                                ,NasdaqGM,1766.37   ,1697.11         ,55.44     ,93.75       ,69.57580946450811      ,Above Avg
SJ        ,Stella-Jones Inc.                                                                      ,Materials             ,Paper and Forest Products                            ,TSX     ,3672.21   ,4745.92         ,91.3      ,96.0556     ,69.56522415940225      ,Above Avg
SYNSAM    ,Synsam AB (publ)                                                                       ,Consumer Discretionary,Specialty Retail                                     ,OM      ,1052.77   ,1389.63         ,65.5      ,73.25       ,69.55245952677461      ,Above Avg
ASO       ,Academy Sports and Outdoors Inc.                                                       ,Consumer Discretionary,Specialty Retail                                     ,NasdaqGS,3668.14   ,5247.67         ,55.01     ,59.9444     ,69.52218244084685      ,Above Avg
MBB       ,MBB SE                                                                                 ,Industrials           ,Industrial Conglomerates                             ,XTRA    ,1398.13   ,1227.39         ,217.5     ,248.9667    ,69.51525529265257      ,Above Avg
FIVE      ,Five Below Inc.                                                                        ,Consumer Discretionary,Specialty Retail                                     ,NasdaqGS,10570.3   ,12060.0         ,191.64    ,217.3333    ,69.51159713574098      ,Above Avg
000807    ,Yunnan Aluminium Co. Ltd.                                                              ,Materials             ,Metals and Mining                                    ,SZSE    ,16782.53  ,15821.57        ,33.64     ,26.7167     ,69.50428082191782      ,Above Avg
9983      ,Fast Retailing Co. Ltd.                                                                ,Consumer Discretionary,Specialty Retail                                     ,TSE     ,116576.36 ,108639.0        ,58800.0   ,61095.9286  ,69.4838885429639       ,Above Avg
500488    ,Abbott India Limited                                                                   ,Health Care           ,Pharmaceuticals                                      ,BSE     ,6413.84   ,6178.27         ,27675.0   ,34723.75    ,69.46583125778332      ,Above Avg
MGY       ,Magnolia Oil & Gas Corporation                                                         ,Energy                ,Oil Gas and Consumable Fuels                         ,NYSE    ,4813.13   ,4861.44         ,25.51     ,26.9444     ,69.43391967621423      ,Above Avg
A403870   ,HPSP Co. Ltd.                                                                          ,Information Technology,Semiconductors and Semiconductor Equipment           ,KOSDAQ  ,2694.82   ,2542.91         ,46500.0   ,39666.6667  ,69.4285491905355       ,Above Avg
COM       ,Comer Industries S.p.A.                                                                ,Industrials           ,Machinery                                            ,BIT     ,1754.81   ,1804.22         ,51.6      ,40.6667     ,69.41080323785805      ,Above Avg
4536      ,Santen Pharmaceutical Co. Ltd.                                                         ,Health Care           ,Pharmaceuticals                                      ,TSE     ,3389.42   ,2971.23         ,1738.0    ,2131.1111   ,69.37204234122045      ,Above Avg
GD        ,General Dynamics Corporation                                                           ,Industrials           ,Aerospace and Defense                                ,NYSE    ,94931.14  ,100611.14       ,351.09    ,392.556     ,69.3696295143213       ,Above Avg
CMOCTEZ   ,Corporación Moctezuma S.A.B. de C.V.                                                   ,Materials             ,Construction Materials                               ,BMV     ,4005.28   ,3525.8          ,81.0      ,87.0        ,69.36060087173101      ,Above Avg
AJANTPHARM,Ajanta Pharma Limited                                                                  ,Health Care           ,Pharmaceuticals                                      ,NSEI    ,3789.2    ,3713.48         ,2781.9    ,3060.0833   ,69.35826587795766      ,Above Avg
4704      ,Trend Micro Incorporated                                                               ,Information Technology,Software                                             ,TSE     ,5103.8    ,3643.25         ,6050.0    ,7343.75     ,69.3121886674969       ,Above Avg
TPL       ,Texas Pacific Land Corporation                                                         ,Energy                ,Oil Gas and Consumable Fuels                         ,NYSE    ,24015.32  ,23501.18        ,348.36    ,280.8333    ,69.30666251556664      ,Above Avg
TCS       ,Tata Consultancy Services Limited                                                      ,Information Technology,IT Services                                          ,NSEI    ,123271.25 ,118379.79       ,3123.9    ,3617.913    ,69.28658156911582      ,Above Avg
ULS       ,UL Solutions Inc.                                                                      ,Industrials           ,Professional Services                                ,NYSE    ,14994.96  ,15502.96        ,70.23     ,90.61       ,69.28230074719801      ,Above Avg
4403      ,NOF Corporation                                                                        ,Materials             ,Chemicals                                            ,TSE     ,4394.68   ,3836.04         ,2981.5    ,3800.0      ,69.27101494396017      ,Above Avg
TEL       ,TE Connectivity plc                                                                    ,Information Technology,Electronic Equipment Instruments and Components      ,NYSE    ,65371.29  ,70271.29        ,222.78    ,272.0       ,69.24774283935244      ,Above Avg
HCSG      ,Healthcare Services Group Inc.                                                         ,Industrials           ,Commercial Services and Supplies                     ,NasdaqGS,1325.97   ,1162.37         ,18.82     ,21.5        ,69.23264321295144      ,Above Avg
TIMA      ,ZEAL Network SE                                                                        ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,XTRA    ,1218.32   ,1201.01         ,48.6      ,66.5        ,69.22890722291407      ,Above Avg
FROTO     ,Ford Otomotiv Sanayi A.S.                                                              ,Consumer Discretionary,Automobiles                                          ,IBSE    ,9173.66   ,11421.7         ,113.7     ,144.16      ,69.19785180572852      ,Above Avg
UGPA3     ,Ultrapar Participações S.A.                                                            ,Consumer Discretionary,Specialty Retail                                     ,BOVESPA ,5155.5    ,8340.23         ,25.38     ,26.1563     ,69.19030199252803      ,Above Avg
523395    ,3M India Limited                                                                       ,Industrials           ,Industrial Conglomerates                             ,BSE     ,4239.63   ,4183.34         ,34507.1   ,35700.0     ,69.16788605230387      ,Above Avg
SPM       ,Saipem SpA                                                                             ,Energy                ,Energy Equipment and Services                        ,BIT     ,7229.64   ,7717.94         ,3.109     ,3.25        ,69.15130759651309      ,Above Avg
LNF       ,Leon's Furniture Limited                                                               ,Consumer Discretionary,Specialty Retail                                     ,TSX     ,1390.49   ,1477.48         ,27.52     ,36.0        ,69.14562577833128      ,Above Avg
NICE      ,NICE Ltd.                                                                              ,Information Technology,Software                                             ,TASE    ,6594.62   ,6200.44         ,331.1     ,754.8409    ,69.11410336239105      ,Above Avg
ARYN      ,ARYZTA AG                                                                              ,Consumer Staples      ,Food Products                                        ,SWX     ,1753.06   ,2638.55         ,54.65     ,69.9318     ,69.11394769613949      ,Above Avg
WES       ,Western Midstream Partners LP                                                          ,Energy                ,Oil Gas and Consumable Fuels                         ,NYSE    ,16915.5   ,23894.03        ,41.46     ,41.75       ,69.10227272727275      ,Above Avg
INCY      ,Incyte Corporation                                                                     ,Health Care           ,Biotechnology                                        ,NasdaqGS,19646.01  ,16757.46        ,100.07    ,102.3333    ,69.09036425902866      ,Above Avg
LOW       ,Lowe's Companies Inc.                                                                  ,Consumer Discretionary,Specialty Retail                                     ,NYSE    ,149807.7  ,193907.7        ,267.06    ,280.4688    ,69.07752179327524      ,Above Avg
SY1       ,Symrise AG                                                                             ,Materials             ,Chemicals                                            ,XTRA    ,11800.17  ,14258.48        ,71.06     ,95.7947     ,69.0729296388543       ,Above Avg
NTAP      ,NetApp Inc.                                                                            ,Information Technology,Technology Hardware Storage and Peripherals          ,NasdaqGS,19083.11  ,18802.11        ,96.35     ,122.8125    ,69.06358966376091      ,Above Avg
KARO      ,Karooooo Ltd.                                                                          ,Information Technology,Software                                             ,NasdaqCM,1546.21   ,1552.71         ,50.05     ,61.8896     ,69.06343399750935      ,Above Avg
A012330   ,Hyundai Mobis Co.Ltd                                                                   ,Consumer Discretionary,Automobile Components                                ,KOSE    ,27241.51  ,21914.82        ,449000.0  ,526966.6667 ,69.06234433374846      ,Above Avg
TMDX      ,TransMedics Group Inc.                                                                 ,Health Care           ,Health Care Equipment and Supplies                   ,NasdaqGM,4578.51   ,4631.68         ,133.975   ,144.7273    ,69.06024283935245      ,Above Avg
2320      ,Al-Babtain Power and Telecommunications Company                                        ,Industrials           ,Construction and Engineering                         ,SASE    ,1193.45   ,1409.45         ,70.0      ,83.2        ,69.05230386052307      ,Above Avg
603929    ,L&K Engineering (Suzhou) Co.Ltd.                                                       ,Industrials           ,Construction and Engineering                         ,SHSE    ,4858.41   ,4411.22         ,158.29    ,235.62      ,69.04724470734745      ,Above Avg
TRELB     ,Trelleborg AB (publ)                                                                   ,Industrials           ,Machinery                                            ,OM      ,9136.9    ,9938.75         ,360.0     ,410.7       ,69.0438200498132       ,Above Avg
AMZN      ,Amazon.com Inc.                                                                        ,Consumer Discretionary,Broadline Retail                                     ,NasdaqGS,2558168.69,2624409.69      ,239.3     ,296.2882    ,69.02140410958906      ,Above Avg
1476      ,Eclat Textile Co. Ltd.                                                                 ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,TWSE    ,3447.28   ,3197.88         ,397.0     ,501.625     ,69.01891344956414      ,Above Avg
8464      ,Nien Made Enterprise Co. LTD.                                                          ,Consumer Discretionary,Household Durables                                   ,TWSE    ,3959.86   ,3568.49         ,427.0     ,504.0       ,69.00233499377336      ,Above Avg
IPCALAB   ,Ipca Laboratories Limited                                                              ,Health Care           ,Pharmaceuticals                                      ,NSEI    ,4069.74   ,4229.29         ,1470.8    ,1564.8333   ,68.97322540473228      ,Above Avg
PLPC      ,Preformed Line Products Company                                                        ,Industrials           ,Electrical Equipment                                 ,NasdaqGS,1230.08   ,1204.1          ,250.94    ,221.0       ,68.95617995018681      ,Above Avg
5706      ,Mitsui Kinzoku Company Limited                                                         ,Materials             ,Metals and Mining                                    ,TSE     ,7530.45   ,8243.41         ,20370.0   ,22877.7778  ,68.95462328767124      ,Above Avg
002155    ,Hunan Gold Corporation Limited                                                         ,Materials             ,Metals and Mining                                    ,SZSE    ,8317.48   ,8129.28         ,37.0      ,27.32       ,68.94489414694897      ,Above Avg
PNVL3     ,Dimed S.A. Distribuidora de Medicamentos                                               ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,BOVESPA ,375.42    ,567.94          ,13.23     ,13.0        ,68.91586239103364      ,Above Avg
PETRONET  ,Petronet LNG Limited                                                                   ,Energy                ,Oil Gas and Consumable Fuels                         ,NSEI    ,4740.24   ,3728.64         ,289.75    ,317.0       ,68.89733810709838      ,Above Avg
OSIS      ,OSI Systems Inc.                                                                       ,Information Technology,Electronic Equipment Instruments and Components      ,NasdaqGS,4120.44   ,4830.94         ,250.14    ,298.8333    ,68.88768679950188      ,Above Avg
BRKN      ,Burkhalter Holding AG                                                                  ,Industrials           ,Construction and Engineering                         ,SWX     ,1932.7    ,1984.9          ,140.4     ,129.3333    ,68.872898505604        ,Above Avg
APH       ,Amphenol Corporation                                                                   ,Information Technology,Electronic Equipment Instruments and Components      ,NYSE    ,176361.92 ,180526.32       ,144.08    ,165.1528    ,68.83826276463263      ,Above Avg
1321      ,East Pipes Integrated Company for Industry                                             ,Materials             ,Metals and Mining                                    ,SASE    ,1278.24   ,1196.56         ,152.2     ,175.0       ,68.824097135741        ,Above Avg
RBREW     ,Royal Unibrew A/S                                                                      ,Consumer Staples      ,Beverages                                            ,CPSE    ,4609.07   ,5567.19         ,591.0     ,622.14      ,68.81623599003737      ,Above Avg
CMI       ,Cummins Inc.                                                                           ,Industrials           ,Machinery                                            ,NYSE    ,79898.14  ,86018.14        ,578.82    ,560.5742    ,68.79490971357411      ,Above Avg
FRA       ,Fraport AG                                                                             ,Industrials           ,Transportation Infrastructure                        ,XTRA    ,8572.84   ,19312.06        ,78.1      ,75.9        ,68.7730386052304       ,Above Avg
MRU       ,Metro Inc.                                                                             ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,TSX     ,14159.74  ,17734.57        ,90.39     ,102.4545    ,68.77031444582816      ,Above Avg
NATIONALUM,National Aluminium Company Limited                                                     ,Materials             ,Metals and Mining                                    ,NSEI    ,7721.04   ,6864.86         ,385.45    ,314.0909    ,68.76307596513078      ,Above Avg
600795    ,GD Power Development Co.Ltd                                                            ,Utilities             ,Independent Power and Renewable Electricity Producers,SHSE    ,11879.47  ,64471.18        ,4.63      ,6.39        ,68.76058530510586      ,Above Avg
GLW       ,Corning Incorporated                                                                   ,Information Technology,Electronic Equipment Instruments and Components      ,NYSE    ,83426.0   ,90834.0         ,103.25    ,112.5385    ,68.75887297633875      ,Above Avg
COTN      ,Comet Holding AG                                                                       ,Information Technology,Electronic Equipment Instruments and Components      ,SWX     ,3016.94   ,3017.4          ,299.4     ,283.0       ,68.75124533001247      ,Above Avg
BOX       ,Box Inc.                                                                               ,Information Technology,Software                                             ,NYSE    ,3630.83   ,4152.21         ,25.35     ,35.625      ,68.73295454545456      ,Above Avg
IRDM      ,Iridium Communications Inc.                                                            ,Communication Services,Diversified Telecommunication Services               ,NasdaqGS,2086.53   ,3807.84         ,19.92     ,28.125      ,68.73139788293899      ,Above Avg
PWR       ,Quanta Services Inc.                                                                   ,Industrials           ,Construction and Engineering                         ,NYSE    ,70774.87  ,76190.57        ,474.63    ,479.7575    ,68.72127957658782      ,Above Avg
ENS       ,EnerSys                                                                                ,Industrials           ,Electrical Equipment                                 ,NYSE    ,6650.66   ,7479.02         ,180.19    ,174.6       ,68.71583125778332      ,Above Avg
300394    ,Suzhou TFC Optical Communication Co. Ltd.                                              ,Information Technology,Communications Equipment                             ,SZSE    ,27783.39  ,27391.57        ,248.43    ,195.4989    ,68.71007160647572      ,Above Avg
1913      ,Prada S.p.A.                                                                           ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,SEHK    ,13114.85  ,15739.24        ,40.04     ,61.7089     ,68.69154732254049      ,Above Avg
L         ,Loblaw Companies Limited                                                               ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,TSX     ,52807.38  ,66063.55        ,61.27     ,64.1818     ,68.68718866749691      ,Above Avg
KCR       ,Konecranes Plc                                                                         ,Industrials           ,Machinery                                            ,HLSE    ,9350.05   ,9319.75         ,99.35     ,104.0       ,68.66796388542964      ,Above Avg
FTDR      ,Frontdoor Inc.                                                                         ,Consumer Discretionary,Diversified Consumer Services                        ,NasdaqGS,4262.61   ,4918.61         ,59.11     ,59.3333     ,68.66344956413452      ,Above Avg
AEO       ,American Eagle Outfitters Inc.                                                         ,Consumer Discretionary,Specialty Retail                                     ,NYSE    ,3951.32   ,5809.73         ,23.31     ,25.7778     ,68.64905043586552      ,Above Avg
VRT       ,Vertiv Holdings Co                                                                     ,Industrials           ,Electrical Equipment                                 ,NYSE    ,71183.75  ,72431.35        ,186.18    ,200.1563    ,68.64212328767124      ,Above Avg
000423    ,Dong-E-E-Jiao Co.Ltd.                                                                  ,Health Care           ,Pharmaceuticals                                      ,SZSE    ,4679.34   ,3517.48         ,50.63     ,73.64       ,68.64134495641346      ,Above Avg
LNN       ,Lindsay Corporation                                                                    ,Industrials           ,Machinery                                            ,NYSE    ,1309.66   ,1245.91         ,125.27    ,134.0       ,68.62398816936489      ,Above Avg
PEBB      ,The Pebble Group plc                                                                   ,Communication Services,Media                                                ,AIM     ,103.17    ,102.9           ,0.51      ,0.95        ,68.59806973848072      ,Above Avg
2801      ,Kikkoman Corporation                                                                   ,Consumer Staples      ,Food Products                                        ,TSE     ,8324.74   ,8079.83         ,1390.5    ,1570.0      ,68.58709526774597      ,Above Avg
ODFL      ,Old Dominion Freight Line Inc.                                                         ,Industrials           ,Ground Transportation                                ,NasdaqGS,36215.85  ,36254.25        ,173.2     ,167.7917    ,68.58149128268994      ,Above Avg
ALLE      ,Allegion plc                                                                           ,Industrials           ,Building Products                                    ,NYSE    ,14228.82  ,16185.82        ,165.39    ,181.2727    ,68.55845267745953      ,Above Avg
NYT       ,The New York Times Company                                                             ,Communication Services,Media                                                ,NYSE    ,11901.81  ,10805.02        ,73.31     ,68.75       ,68.5568181818182       ,Above Avg
A271560   ,ORION Corp.                                                                            ,Consumer Staples      ,Food Products                                        ,KOSE    ,3204.45   ,2499.77         ,117500.0  ,140000.0    ,68.52763075965132      ,Above Avg
SORIANAB  ,Organización Soriana S. A. B. de C. V.                                                 ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,BMV     ,3687.98   ,5093.0          ,35.8      ,22.2857     ,68.51961394769616      ,Above Avg
A064400   ,LG CNS Co. Ltd.                                                                        ,Information Technology,IT Services                                          ,KOSE    ,4659.04   ,4085.98         ,69700.0   ,85333.3333  ,68.51836861768369      ,Above Avg
HEIJM     ,Koninklijke Heijmans N.V.                                                              ,Industrials           ,Construction and Engineering                         ,ENXTAM  ,2242.77   ,2290.29         ,68.7      ,63.375      ,68.50303549190537      ,Above Avg
AGI       ,Alamos Gold Inc.                                                                       ,Materials             ,Metals and Mining                                    ,TSX     ,15555.47  ,15316.6         ,50.46     ,70.1979     ,68.48194271481944      ,Above Avg
ACIW      ,ACI Worldwide Inc.                                                                     ,Information Technology,Software                                             ,NasdaqGS,4469.9    ,5195.24         ,43.36     ,63.2        ,68.46225093399751      ,Above Avg
HRMY      ,Harmony Biosciences Holdings Inc.                                                      ,Health Care           ,Pharmaceuticals                                      ,NasdaqGM,2103.42   ,1600.57         ,36.52     ,46.4545     ,68.45042029887921      ,Above Avg
A298040   ,Hyosung Heavy Industries Corporation                                                   ,Industrials           ,Electrical Equipment                                 ,KOSE    ,16722.75  ,17281.19        ,2603000.0 ,2803529.4118,68.44925280199254      ,Above Avg
UNP       ,Union Pacific Corporation                                                              ,Industrials           ,Ground Transportation                                ,NYSE    ,139452.13 ,171008.13       ,235.1     ,264.5833    ,68.41492839352429      ,Above Avg
4165      ,Al Majed for Oud Company                                                               ,Consumer Staples      ,Personal Care Products                               ,SASE    ,963.82    ,966.39          ,144.6     ,141.45      ,68.38994396014947      ,Above Avg
PLUS      ,ePlus inc.                                                                             ,Information Technology,Electronic Equipment Instruments and Components      ,NasdaqGS,2243.48   ,1939.85         ,85.81     ,92.0        ,68.38885429638856      ,Above Avg
AMS       ,Amadeus IT Group S.A.                                                                  ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,BME     ,29233.28  ,32033.09        ,56.62     ,76.6732     ,68.35569738480699      ,Above Avg
3044      ,Tripod Technology Corporation                                                          ,Information Technology,Electronic Equipment Instruments and Components      ,TWSE    ,6229.69   ,5598.96         ,374.5     ,413.0       ,68.35157222914074      ,Above Avg
AME       ,AMETEK Inc.                                                                            ,Industrials           ,Electrical Equipment                                 ,NYSE    ,51561.06  ,53868.24        ,223.98    ,232.4118    ,68.35001556662517      ,Above Avg
7984      ,Kokuyo Co. Ltd.                                                                        ,Industrials           ,Commercial Services and Supplies                     ,TSE     ,2515.09   ,1855.99         ,904.7     ,943.75      ,68.34721357409715      ,Above Avg
MNST      ,Monster Beverage Corporation                                                           ,Consumer Staples      ,Beverages                                            ,NasdaqGS,78904.23  ,76385.23        ,80.76     ,79.62       ,68.34160958904111      ,Above Avg
AMBEA     ,Ambea AB (publ)                                                                        ,Health Care           ,Health Care Providers and Services                   ,OM      ,1289.92   ,2771.02         ,136.0     ,154.3333    ,68.33390410958904      ,Above Avg
CSGS      ,CSG Systems International Inc.                                                         ,Industrials           ,Professional Services                                ,NasdaqGS,2166.37   ,2586.19         ,79.75     ,80.7        ,68.32098381070986      ,Above Avg
CEVI      ,CellaVision AB (publ)                                                                  ,Health Care           ,Health Care Equipment and Supplies                   ,OM      ,396.49    ,381.67          ,147.4     ,225.75      ,68.28479140722293      ,Above Avg
ALFA      ,Alfa Laval AB (publ)                                                                   ,Industrials           ,Machinery                                            ,OM      ,24117.95  ,25953.96        ,517.4     ,498.6       ,68.26984744707349      ,Above Avg
AGX       ,Argan Inc.                                                                             ,Industrials           ,Construction and Engineering                         ,NYSE    ,4815.6    ,4091.4          ,347.11    ,361.0       ,68.26019613947697      ,Above Avg
THEON     ,Theon International Plc                                                                ,Industrials           ,Aerospace and Defense                                ,ENXTAM  ,2908.86   ,2877.19         ,31.15     ,35.8687     ,68.24961083437113      ,Above Avg
A035420   ,NAVER Corporation                                                                      ,Communication Services,Interactive Media and Services                       ,KOSE    ,28361.72  ,26585.25        ,275000.0  ,325619.2308 ,68.24447384806975      ,Above Avg
U96       ,Sembcorp Industries Ltd                                                                ,Utilities             ,Multi-Utilities                                      ,SGX     ,8427.4    ,14938.17        ,6.03      ,7.1342      ,68.23949252801992      ,Above Avg
DPM       ,DPM Metals Inc.                                                                        ,Materials             ,Metals and Mining                                    ,TSX     ,7745.37   ,7338.69         ,47.51     ,52.0328     ,68.23466687422169      ,Above Avg
RMS       ,Hermès International Société en commandite par actions                                 ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,ENXTPA  ,252720.78 ,242891.86       ,2029.0    ,2374.3182   ,68.22984122042342      ,Above Avg
IOC       ,Indian Oil Corporation Limited                                                         ,Energy                ,Oil Gas and Consumable Fuels                         ,NSEI    ,24518.58  ,39650.67        ,163.24    ,173.1613    ,68.22548256537983      ,Above Avg
CVERDEC1  ,Sociedad Minera Cerro Verde S.A.A.                                                     ,Materials             ,Metals and Mining                                    ,BVL     ,20163.23  ,19075.15        ,58.14     ,43.9205     ,68.22283623910339      ,Above Avg
BOOT      ,Boot Barn Holdings Inc.                                                                ,Consumer Discretionary,Specialty Retail                                     ,NYSE    ,5440.72   ,6043.94         ,178.48    ,231.8571    ,68.20057596513077      ,Above Avg
603699    ,Neway Valve (Suzhou) Co. Ltd.                                                          ,Industrials           ,Machinery                                            ,SHSE    ,6747.51   ,6540.46         ,60.5      ,53.5575     ,68.2001089663761       ,Above Avg
APGN      ,APG|SGA SA                                                                             ,Communication Services,Media                                                ,SWX     ,820.17    ,798.97          ,211.0     ,248.5       ,68.19964196762143      ,Above Avg
NOTE      ,NOTE AB (publ)                                                                         ,Information Technology,Electronic Equipment Instruments and Components      ,OM      ,533.49    ,593.26          ,165.7     ,200.0       ,68.19403798256539      ,Above Avg
2223      ,Saudi Aramco Base Oil Company - Luberef                                                ,Materials             ,Chemicals                                            ,SASE    ,4696.8    ,4653.7          ,104.7     ,122.025     ,68.17092154420924      ,Above Avg
GWW       ,W.W. Grainger Inc.                                                                     ,Industrials           ,Trading Companies and Distributors                   ,NYSE    ,51350.43  ,53935.43        ,1079.9401 ,1082.0625   ,68.16321606475717      ,Above Avg
ADNOCGAS  ,ADNOC Gas PLC                                                                          ,Energy                ,Oil Gas and Consumable Fuels                         ,ADX     ,75425.24  ,72269.33        ,3.61      ,4.132       ,68.15800124533004      ,Above Avg
7988      ,Nifco Inc.                                                                             ,Consumer Discretionary,Automobile Components                                ,TSE     ,2887.58   ,2198.28         ,4804.0    ,5235.7143   ,68.12959215442095      ,Above Avg
6781      ,Advanced Energy Solution Holding Co. Ltd.                                              ,Industrials           ,Electrical Equipment                                 ,TWSE    ,3054.83   ,2817.76         ,1130.0    ,1591.25     ,68.12912515566626      ,Above Avg
AIRARABIA ,Air Arabia PJSC                                                                        ,Industrials           ,Passenger Airlines                                   ,DFM     ,6328.16   ,5463.07         ,4.98      ,4.3429      ,68.1225871731009       ,Above Avg
3092      ,ZOZO Inc.                                                                              ,Consumer Discretionary,Specialty Retail                                     ,TSE     ,7291.19   ,7120.31         ,1276.0    ,1409.8235   ,68.1207191780822       ,Above Avg
CCO       ,Cameco Corporation                                                                     ,Energy                ,Oil Gas and Consumable Fuels                         ,TSX     ,53852.31  ,54020.15        ,168.41    ,156.1176    ,68.11869551681198      ,Above Avg
HCA       ,HCA Healthcare Inc.                                                                    ,Health Care           ,Health Care Providers and Services                   ,NYSE    ,111420.24 ,161981.24       ,488.27    ,527.5714    ,68.10484122042342      ,Above Avg
4163      ,Al-Dawaa Medical Services Company                                                      ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,SASE    ,1161.45   ,1720.39         ,51.25     ,66.2        ,68.08974159402243      ,Above Avg
NWG       ,Newag S.A.                                                                             ,Industrials           ,Machinery                                            ,WSE     ,1582.56   ,1548.44         ,124.6     ,114.4       ,68.05199252801995      ,Above Avg
MELE      ,Melexis NV                                                                             ,Information Technology,Semiconductors and Semiconductor Equipment           ,ENXTBR  ,3029.77   ,3329.44         ,63.75     ,71.6429     ,68.05059153175593      ,Above Avg
WPK       ,Winpak Ltd.                                                                            ,Materials             ,Containers and Packaging                             ,TSX     ,1886.61   ,1563.84         ,43.01     ,48.3427     ,68.04288605230387      ,Above Avg
4307      ,Nomura Research Institute Ltd.                                                         ,Information Technology,IT Services                                          ,TSE     ,17420.32  ,18272.61        ,4701.0    ,6623.3333   ,68.04055105853054      ,Above Avg
CLASB     ,Clas Ohlson AB (publ)                                                                  ,Consumer Discretionary,Specialty Retail                                     ,OM      ,2186.41   ,2281.12         ,305.0     ,348.3333    ,68.03354607721047      ,Above Avg
H2O       ,S.P.E.E.H. Hidroelectrica S.A.                                                         ,Utilities             ,Independent Power and Renewable Electricity Producers,BVB     ,14477.27  ,13680.57        ,138.0     ,113.93      ,68.03035491905355      ,Above Avg
WHATS     ,What's Cooking Group NV                                                                ,Consumer Staples      ,Food Products                                        ,ENXTBR  ,269.04    ,242.9           ,122.0     ,137.5       ,68.01867995018682      ,Above Avg
4002      ,Mouwasat Medical Services Company                                                      ,Health Care           ,Health Care Providers and Services                   ,SASE    ,3711.31   ,3881.53         ,69.6      ,91.42       ,68.00015566625156      ,Above Avg
